title,link,qualified
PROJECT PROGRAMMER STAFF,https://www.jobstreet.co.id/id/job/project-programmer-staff-3844325?jobId=jobstreet-id-job-3844325&sectionRank=136&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,"['Swiss German University, an remarkable international University located in the environmental friendly Edutown complex of Alam Sutera Tangerang. We have a quality-oriented and modern study programs ranging from Engineering and Information Technology to Life Sciences, Business Administration and Humanities.']"
Software Quality Assurance,https://www.jobstreet.co.id/id/job/software-quality-assurance-3844879?jobId=jobstreet-id-job-3844879&sectionRank=137&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,"['Bachelor Degree from infomation system, information engineering, computer science', 'Fresh graduates are preferred', 'Good analytical skill and detail oriented', ""Bachelor's degree or equivalent work experience"", 'Ability to communicate in English, both verbally and written', 'Scripting skill using Python, Powershell is a big plus', 'willing be onsite work, placement in Jakarta']"
System Analyst,https://www.jobstreet.co.id/id/job/system-analyst-3827237?jobId=jobstreet-id-job-3827237&sectionRank=138&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,"['Good in English written, reading and speaking', 'Proficient in One or more Programming Language (ex. C#, VB.Net, Python)', 'Strong understanding of object-oriented programming', 'Familiar with various design and architectural patterns', 'Familiarity with Microsoft SQL Server\xa0, MySQL or PostgreSQL', 'Familiarity with Client – server application development\xa0', 'Understanding fundamental design principles behind a scalable application', 'Proficient understanding of code versioning tools\xa0', 'Familiarity with continuous integration']"
IT Programmer,https://www.jobstreet.co.id/id/job/it-programmer-3842033?jobId=jobstreet-id-job-3842033&sectionRank=139&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,"['Usia maksimal 27 tahun', 'Pendidikan Terakhir S1 Teknik Informatika / Sistem Informasi', 'Menguasai bahasa pemograman', 'Menguasai Lavarel, asp.net dam SQL', 'Menguasai mobile programming (nilai plus)', 'Bersedia bergabung secepatnya', 'Bersedia ditempatkan di Cikarang']"
Data Scientist,https://www.jobstreet.co.id/id/job/data-scientist-3845007?jobId=jobstreet-id-job-3845007&sectionRank=140&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,"['karir', 'budaya kerja']"
ICT Executive (BELAWAN),https://www.jobstreet.co.id/id/job/ict-executive-belawan-3843866?jobId=jobstreet-id-job-3843866&sectionRank=141&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,"['Minimum Bachelor degree majoring in Information Technology / Information System from reputable university with GPA minimum 3.00.', 'At least 2 Year(s) of working experience in the related field is required for this position.', 'Have good ability in PHP, Java, VB.Net language program.', 'Have good ability in SQL/My SQL database system.', 'Have good ability in hardware and troubleshooting (CCTV, PC, Laptop, Printer, UPS, PABX, Proyektor).', 'Have good ability in software: networking and troubleshooting (LAN, WAN, WEB, Microtic).', 'Fluent in english.', 'Willing to travel for short periods.', 'Placement : Belawan, North Sumatera.']"
Data Engineer (Web Scraping),https://www.jobstreet.co.id/id/job/data-engineer-web-scraping-3845646?jobId=jobstreet-id-job-3845646&sectionRank=142&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,"['Fresh Graduate\xa0are welcome', 'Great communication skills (written and Spoken in English)', 'Educational background: Computer Science from reputable University or relevant major disciplines.', 'Basic knowledge in\xa0Python, Scraping Website and Social Media', 'Familiarity with Linux/UNIX, HTTP, HTML, Javascript and Networking', 'Data warehouse/analytics application experience', 'Google Cloud Platform experience', 'Technology focused, proactive in problem solving and able to work with minimum supervision', 'Eager to learn is a must', 'Self motivated and passion to excel in their life', 'Ability to work individually and as a team, and achieve target in timely manner']"
Kubernetes Service & Support,https://www.jobstreet.co.id/id/job/kubernetes-service-support-3845242?jobId=jobstreet-id-job-3845242&sectionRank=143&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,"['Experience with deploying, configuring, and managing applications on Kubernetes, Docker', 'Must have experience with containers and / or container management systems, such as Kubernetes, Docker, etc', 'Experience being part of projects with full project life cycle', 'Monitor all the project works and ensure all the quality is within the acceptance based on the company standard', 'Responsible for building and tracking holistic (E2E) project plan, covering all aspects of the program - including deployment', 'Resolve Kubernetes and Docker issues']"
Web Programmer,https://www.jobstreet.co.id/id/job/web-programmer-3834454?jobId=jobstreet-id-job-3834454&sectionRank=144&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,[]
IT Infrastructure,https://www.jobstreet.co.id/id/job/it-infrastructure-3841229?jobId=jobstreet-id-job-3841229&sectionRank=145&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,"['Melakukan pemeliharaan jaringan dan hardware dari server aplikasi dan server infrastruktur', 'Melakukan pemeliharaan dan konfigurasi software server aplikasi dan infrastruktur server', 'Melakukan problem solving untuk user sabang dan user pusat mengenai jaringan, serta hardware dan software komputer.']"
Data Analyst,https://www.jobstreet.co.id/id/job/data-analyst-3843636?jobId=jobstreet-id-job-3843636&sectionRank=146&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,"[""Bachelor's Degree in Mathematics, Economics, Computer Science, Information Management or Statistics"", 'Technical expertise\xa0regarding\xa0data models, database design development, data mining and segmentation techniques', 'Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)', 'Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)', 'Strong\xa0analytical skills\xa0with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy', 'Adept at queries, report writing and presenting findings']"
Freelance MIS (Management Information System),https://www.jobstreet.co.id/id/job/freelance-mis-management-information-system-3842235?jobId=jobstreet-id-job-3842235&sectionRank=147&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,[]
IT Security Architect,https://www.jobstreet.co.id/id/job/it-security-architect-3827112?jobId=jobstreet-id-job-3827112&sectionRank=148&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,"['Minimum bachelor’s degree with related background education', '3+ years as security architect', ""Have a deep understanding of an organization's IT Systems (anticipate risks, identify weakness, and how to response effectively)"", 'Able to manage and execute technologies and process that affects assigned global information protection. (issues identification and solution, documentation, integration other tools, gap resolution, gap assesment and continous improvement)', 'Able to give guidance on security strategies, processes, response and technologies within security operations and other teams', 'Actively participate in development and able to communicate the Information Secruity technologies to organization', 'Able to conduct analysis, design, development and operation of programs, shell scripts, tests, and infrastructure automation capabilities in advance security context', 'Have good communication, interpersonal skill, and English proficient (written and oral)']"
SAP Software Engineer,https://www.jobstreet.co.id/id/job/sap-software-engineer-3845801?jobId=jobstreet-id-job-3845801&sectionRank=149&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,"['People Development and Career Path', 'Awards and Recognition', 'Warm and Family Work Environment']"
Backend Developer,https://www.jobstreet.co.id/id/job/backend-developer-3845877?jobId=jobstreet-id-job-3845877&sectionRank=150&token=0~3dc0e333-e994-4301-aef1-807dc425ccb9&fr=SRP%20Job%20Listing,"['Max age 35 years old.', 'Experienced as programmer at least 2 years.', 'Fresh Graduates are welcome', 'Bachelor Degree in Information Technology (Computer Science)', 'Strong attention to detail, analytical and problem solving skill', 'Object Oriented Programming style', 'Proficiency in Rest API', 'Required Skills :', 'Java, Spring Framework', 'HTML, Java Script, JQuery, CSS', 'Ms. SQL Server, MySQL', 'Willing to learn newer technologies and methods.', 'Able to work well and have high initiative with minimum supervision.', 'Able to work as team or individual', 'Able to work at tight deadline and under pressure']"
MOBILE (ANDROID/IOS) DEVELOPER,https://www.jobstreet.co.id/id/job/mobile-android-ios-developer-3825359?jobId=jobstreet-id-job-3825359&sectionRank=1471&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Bagi kandidat luar Sumatra Utara akan disediakan tempat tinggal', 'BPJS-Kesehatan & Ketenagakerjaan']"
Junior Technical Support,https://www.jobstreet.co.id/id/job/junior-technical-support-3838564?jobId=jobstreet-id-job-3838564&sectionRank=1472&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Salary, Allowance and Insurance', 'Learn and Career Growth', 'Bonus']"
Web Programmer,https://www.jobstreet.co.id/id/job/web-programmer-3839315?jobId=jobstreet-id-job-3839315&sectionRank=1473&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,[]
ASP.Net Programmer (Penempatan: Purwakarta),https://www.jobstreet.co.id/id/job/asp.net-programmer-penempatan%3A-purwakarta-3829071?jobId=jobstreet-id-job-3829071&sectionRank=1474&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Bertanggungjawab atas ketepatan waktu pembuatan program sesuai dengan jadwal', 'Bertanggungjawab atas kebenaran atas program yang akan di-install ke live environment', 'Bertanggungjawab atas pelaksanaan kebijakan perusahaan yang berkaitan dengan bidang IT', 'Bertanggungjawab atas pelaksanaan SOP Departement terkait proses System Development', 'Bertanggungjawab atas pembuatan laporan baik mingguan, bulanan, 6 bulanan dan juga tahunan dari Departement']"
Javascript (Typescript) Developer,https://www.jobstreet.co.id/id/job/javascript-typescript-developer-3839080?jobId=jobstreet-id-job-3839080&sectionRank=1475&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Dream Group is a professional Group of Tourism Business, Dream Tours & Travel is a professional travel consultant that will help you to get the best service in your holiday. We recognize that the people need worship and vacation. That is why we provide travel services for them. We can arrange flights ticket, hotels, Hajj and Umrah packages, holiday packages, honeymoon packages, car hire, day tours, incentive tours, travel insurance, country visas, company outing and so on. We are committed to providing travel services that meet customer satisfaction. We have created new styles of international and domestic travel, aiming to provide safety and comfort for all occasions. For expanding business, our group will develop Food & Beverage Business with specialized in Restaurant, Order Catering and Food Outlet locate around Jabodetabek.']"
System Analyst (.NET),https://www.jobstreet.co.id/id/job/system-analyst-.net-3821936?jobId=jobstreet-id-job-3821936&sectionRank=1476&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Family Working Culture', 'Competitive Salary', 'Hybrid Working']"
Digital Integration Officer,https://www.jobstreet.co.id/id/job/digital-integration-officer-3837735?jobId=jobstreet-id-job-3837735&sectionRank=1477&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"[""Candidate must possess at least Bachelor's Degree in Information Technology"", 'Have at least 2 years experience as System Administrator or Integration Officer', 'Proficient in application delivery, RPA, Ms. Sharepoint, Microsoft Windows Environment, and CICD related', 'Have a good creative thinking and problem solving skill', 'Willing to be placed at Jakarta']"
Front End Developer,https://www.jobstreet.co.id/id/job/front-end-developer-3841319?jobId=jobstreet-id-job-3841319&sectionRank=1478&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"[""Bachelor's Degree,Computer Science/Information Technology\xa0"", 'At least 1 year(s) of working experience as Front End Developer', 'Experienced in HTML5, CSS3, JavaScript, Jquery, Angularjs, Bootstrap, ReactJS, VueJS', 'Has knowledge in PHP, Wordpress and Drupal', 'Excellent analytical and problem solving skills.']"
Lead DevOps Engineer,https://www.jobstreet.co.id/id/job/lead-devops-engineer-3823658?jobId=jobstreet-id-job-3823658&sectionRank=1479&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Work with highly skilled engineers', 'Full remote work, friendly working environment', 'The fastest growing company in Indonesia']"
Mobile Developer,https://www.jobstreet.co.id/id/job/mobile-developer-3834090?jobId=jobstreet-id-job-3834090&sectionRank=1480&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['To design and implement new features for internal apps.', 'To optimize applications that maximize speed and scale.', 'To write well-designed, efficient code that meet the relevant security standards.', 'To build custom native user interfaces using the latest Android / iOS standards and techniques.', 'To integrate with external and internal web services and interfaces.', 'To participate in: software requirements analysis, collaborative design and code review, and test plan creation.', 'To optimize UI and application code for efficiency, reusability, and performance.', 'To ensure designs are in compliance with specifications.', 'To debug and develop root cause analysis.']"
Software Developer Junior Staff - IT & Financial (A-75333),https://www.jobstreet.co.id/id/job/software-developer-junior-staff-it-financial-a-75333-3838837?jobId=jobstreet-id-job-3838837&sectionRank=1481&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['The working venue is in Jakarta Pusat.', 'Our client is a Japanese IT & Financial Company. Currently, they are looking for Software Developer Junior Staff.']"
Programmer - Dashboard,https://www.jobstreet.co.id/id/job/programmer-dashboard-3822162?jobId=jobstreet-id-job-3822162&sectionRank=1482&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Education minimal D3 Information Systems/Information Technology (min GPA 2.75/4)', 'Experience minimal 2 years in the same position', 'Have good communication skills and detail oriented', 'Able to speak English min passive', 'Familiar with SQL, PostgreSQL/MySQL/SQL Server/Oracle and Tableau/QlikView/SQL Server Reporting Services/Crystal Report', 'Willing to undergo a 1 year project contract.']"
Backend Programmer,https://www.jobstreet.co.id/id/job/backend-programmer-3837834?jobId=jobstreet-id-job-3837834&sectionRank=1483&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['BPJS Ketenagakerjaan', 'Lingkungan kerja yang menyenangkan', 'Suasana kerja kekeluargaan']"
Web Programmer,https://www.jobstreet.co.id/id/job/web-programmer-3839956?jobId=jobstreet-id-job-3839956&sectionRank=1484&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,[]
System Analyst - Data,https://www.jobstreet.co.id/id/job/system-analyst-data-4895857/origin/my?jobId=jobstreet-my-job-4895857&sectionRank=1485&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,[]
Front End Developer,https://www.jobstreet.co.id/id/job/front-end-developer-3838693?jobId=jobstreet-id-job-3838693&sectionRank=1486&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Develop and maintain Frontend Web Application using CSS, HTML, JS, NodeJS, FIGMA, PHP, Angular', 'Build reusable code and libraries for future use', 'Optimize application for maximum speed and scalability', 'Assure that all user input is validated before submitting to back-end', 'Collaborate with other team members and stakeholders']"
Business Solution Specialist,https://www.jobstreet.co.id/id/job/business-solution-specialist-3822022?jobId=jobstreet-id-job-3822022&sectionRank=1487&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['To attend meetings with potential clients to determine technical and business requirements and ensuring that all necessary information is collated prior to producing a solution.', 'Evaluate business processes, anticipate requirements, uncover areas for improvement, and developing and implement business solutions.', 'Put together business cases for sales teams to support their proposals.', 'Conduct in-depth needs analysis with prospect’s technical staff to determine technical requirements and solutions.', 'Assists to prepare and review the business processes, requirements, and functional specifications based on the proposed solutions.', 'Translate business requirements into use cases or functional specifications.', 'Ensure potential solutions meet business needs and requirements.', 'Assists to define intuitive user interface design (process flows, wireframes, mockups, and prototypes).', 'Effectively communicate business insights and plans to cross-functional team members and management.', 'Serve as a liaison between internal team and clients.', 'Conduct regular meetings and presentations with internal team or clients to feedback on issues with current solution and provide input around new solutions.', 'Prepare business reports by collecting, analyzing, and summarizing business trends and opportunities for improvement.\xa0']"
IT/SECURITY UNIT Assistant Manager,https://www.jobstreet.co.id/id/job/it-security-unit-assistant-manager-3836058?jobId=jobstreet-id-job-3836058&sectionRank=1488&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['\n\tPT. SAISON MODERN FINANCE', '\n\t\tPT. Saison Modern Finance is a multi-finance company founded in 2015 located in Jakarta. The head quarter is in Japan with name\xa0Credit Saison Co., Ltd. PT. Saison Modern Finance seeks to become the No.1 multi-finance company in the Indonesian finance field. Accordingly, the company aims to expand its business channel which will grow along with the Indonesia economy, and eventually contribute to the growth of the country’s economy.']"
Network & NMS Specialist,https://www.jobstreet.co.id/id/job/network-nms-specialist-3838883?jobId=jobstreet-id-job-3838883&sectionRank=1489&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Manage Network Equipment and its security;', 'Solve Network related issue;', 'Simplify and automate Network related process;', 'Utilize NMS to monitor network equipment, status, and traffic;', 'Utilize NMS to monitor application status and utilization;', ""Utilize NMS to monitor user's Quality of Service (QoS) and Quality of Experience (QoE).""]"
Software Tester,https://www.jobstreet.co.id/id/job/software-tester-3840106?jobId=jobstreet-id-job-3840106&sectionRank=1490&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Latest Technology', 'Multinational Company', 'Friendly Working Environment']"
Solution Architect,https://www.jobstreet.co.id/id/job/solution-architect-3840477?jobId=jobstreet-id-job-3840477&sectionRank=1491&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['5 years of overall relevant IT experience in complex enterprise transformation including to Cloud and Digital', 'Proven experience with Middleware applications, Java application development, API and Microservices Frameworks and Container Execution and Orchestration Platforms', 'Experience architecting and developing cloud application solutions, on cloud native architecture and deployment models will be added advantage.', 'Experience in consulting, experience in design cloud strategy operating model and developing business case for the client is preferable.', 'Deep understanding of Open source middleware and integration capabilities to accelerate Open Innovation', 'At least 5+ years of technical experience Java and Javascript frameworks, containerization and container management, architecting and developing cloud applications and DevSecOps and Continuous Integration Continuous Deployment']"
Mobile Developer,https://www.jobstreet.co.id/id/job/mobile-developer-3833833?jobId=jobstreet-id-job-3833833&sectionRank=1492&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Maintain and build features on existing Android or iOS app', 'Design and build mobile/ web application with documented code', 'Support the application development life cycle', 'Doing bug fixing and improve application performance']"
Software Engineers,https://www.jobstreet.co.id/id/job/software-engineers-3838991?jobId=jobstreet-id-job-3838991&sectionRank=1493&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Comfortable Working Environment', 'Good salary and benefit', 'Technology']"
Backend Engineer (Golang),https://www.jobstreet.co.id/id/job/backend-engineer-golang-3840527?jobId=jobstreet-id-job-3840527&sectionRank=1494&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Design, develop and build scalable back-end infrastructure levering modern cloud platforms and technologies using Golang', 'Perform issue analysis, root-cause analysis, and issue resolution', 'Create any required technical documentation']"
Technical Support,https://www.jobstreet.co.id/id/job/technical-support-3836327?jobId=jobstreet-id-job-3836327&sectionRank=1495&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Family Environments', 'Free Beauty Treatments', 'Learning and Growing with team']"
Experienced Developers from any background,https://www.jobstreet.co.id/id/job/experienced-developers-from-any-background-3822336?jobId=jobstreet-id-job-3822336&sectionRank=1496&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Coding high-quality software using distributed computing, messaging, microservices, performance tuning and memory and resource management techniques', 'Developing data-driven solutions for a range of clients - frontend as well as backend.\xa0', 'Collaborating within cross-functional and international agile teams', 'Testing, debugging, re-testing, and coordinating with QA, validating software as ready for shipping', 'Reviewing code and acting as a subject matter expert for juniors in the team\xa0']"
IT System Analyst,https://www.jobstreet.co.id/id/job/it-system-analyst-3834808?jobId=jobstreet-id-job-3834808&sectionRank=1497&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Paid overtime', 'Lunch provided', 'Company shuttle bus']"
IT SAP ABAP,https://www.jobstreet.co.id/id/job/it-sap-abap-3837957?jobId=jobstreet-id-job-3837957&sectionRank=1498&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Act as the technical expert, ensuring quick turnaround in identifying application issues and providing timely solutions.', 'Develop detailed plans and accurate estimates for completion of the build, system testing, and implementation phases of the project.', 'Transform business function requirements into technical program specs to code, test, and debug programs.', 'Develop, code, document, and execute unit tests, systems, integration and acceptance tests, and testing tools for functions of high complexity.', 'Perform performance tuning to improve performance over multiple functions Engage other technical team members in the design, delivery, and deployment of solutions.', 'Ensure integration system activities including monitoring the technical architecture (particularly scalability, availability, and archiving) meet all SLAs.', 'Manage operational support, performing work during change windows as well as providing on-call support as required by the team. Undertake performance tuning activities for SAP integration activities.', 'Mentored and coached junior developer resources.', 'Provide consulting services on new and existing initiatives']"
Middle to Senior Fullstack Developer,https://www.jobstreet.co.id/id/job/middle-to-senior-fullstack-developer-3840807?jobId=jobstreet-id-job-3840807&sectionRank=1499&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,[]
Backend Developer,https://www.jobstreet.co.id/id/job/backend-developer-3840174?jobId=jobstreet-id-job-3840174&sectionRank=1500&token=0~677597f1-7d5a-4da0-8e80-43b9ce7fd8ac&fr=SRP%20Job%20Listing,"['Clear Career Path and Performance Management', 'Peformance-based Compensation', 'We offer a broad array of Development Programs']"
Mobile Developer,https://www.jobstreet.co.id/id/job/mobile-developer-3831935?jobId=jobstreet-id-job-3831935&sectionRank=1501&token=0~70b02242-a6ca-46d6-9c1c-89ad50c6fd34&fr=SRP%20Job%20Listing,"['Development new feature or customize existing Apps Dens.TV', 'Write technical documentation about the features & project developed']"
Back End Developer,https://www.jobstreet.co.id/id/job/back-end-developer-3829981?jobId=jobstreet-id-job-3829981&sectionRank=1502&token=0~70b02242-a6ca-46d6-9c1c-89ad50c6fd34&fr=SRP%20Job%20Listing,"['Pendidikan minimal D3/S1 Teknik Informatika, Sistem Informasi atau bidang terkait', 'Memiliki pengalaman minimal 1 tahun dibidang yang sama', 'Memahami dan menguasai ASP.Net (MVC, .Net Core) C#, PHP, NodeJS', 'Memahami Mobile Apps React Native menjadi nilai Plus', 'Memahami dan menguasai Windows Server, konfigurasi IIS dan Webservice lainnya', 'Memahami dan menguasai SQL Query (MSSQL Server)', 'Memahami secara mendalam pembuatan dan pengunaan RESTfull APIs, XML, Json', 'Memahami dan menguasai version control tools', 'Memahami dan mengusai Docker menjadi nilai plus', 'Memahami dan menguasai Jasper Report menjadi nilai plus', 'Memiliki pemahaman yang mendalam mengenai OOP (Object Oriented Programming)', 'Memiliki motivasi, dorongan, dan pembelajar yang cepat.', 'Memiliki kemampuan kerjasama tim dan komunikasi yang baik.', 'Dapat bekerja secara individu maupun tim.']"
IT Software Developer,https://www.jobstreet.co.id/id/job/it-software-developer-3838946?jobId=jobstreet-id-job-3838946&sectionRank=1503&token=0~70b02242-a6ca-46d6-9c1c-89ad50c6fd34&fr=SRP%20Job%20Listing,"['Pendidikan Minimal SMK / D1 / S1 RPL (Rekayasa Perangkat Lunak) Sederajat & Sejenis', 'Pengalaman & Kompetensi Programming', 'Pengalaman Programing mobile APP', 'Laravel Framework', 'Flutter *Tidak wajib', 'Menerima lowongan tanpa pengalaman kerja', 'Di utama kan yg ada pengalaman kerja > 1 Thn']"
Software Tester for Automated,https://www.jobstreet.co.id/id/job/software-tester-for-automated-3819168?jobId=jobstreet-id-job-3819168&sectionRank=1504&token=0~70b02242-a6ca-46d6-9c1c-89ad50c6fd34&fr=SRP%20Job%20Listing,"['Automated Software Tester', 'Good command of English both written and spoken', 'Competitive Salary and Benefits']"
ERP Project Manager,https://www.jobstreet.co.id/id/job/erp-project-manager-3820552?jobId=jobstreet-id-job-3820552&sectionRank=1505&token=0~70b02242-a6ca-46d6-9c1c-89ad50c6fd34&fr=SRP%20Job%20Listing,"['Flexible Hours (No Late Penalty)', 'Private Health Insurance For Employee and Family', 'Work As Team and Achieved One Vision']"
Wireless Network Optimization Engineer,https://www.jobstreet.co.id/id/job/wireless-network-optimization-engineer-3837778?jobId=jobstreet-id-job-3837778&sectionRank=1506&token=0~70b02242-a6ca-46d6-9c1c-89ad50c6fd34&fr=SRP%20Job%20Listing,"['FiberHome is the top 3 telecommunications product and solution provider in China. It is a Chinese government company and dedicated to the telecommunication industry for more 30 years. FiberHome has more than 20,000 employees with annual turnover around 2 billion US Dollar. It has been award 2010 Bloomberg Newsweek “Global Top 100 Technologies Companies” and “China Most Competitive Optical Network Manufacturer” by authoritative industry media. Two subsidiary companies of FiberHome group have been listed in China Shanghai stock-exchange and Shenzhen Stock-exchange. FiberHome’s global sales network covers more than 65 countries with 20 overseas branch offices around the world.']"
Android Developer,https://www.jobstreet.co.id/id/job/android-developer-3831096?jobId=jobstreet-id-job-3831096&sectionRank=1507&token=0~70b02242-a6ca-46d6-9c1c-89ad50c6fd34&fr=SRP%20Job%20Listing,"[""Maintaining company's Android code"", 'Upgrade source code to keep up with current modern APIs based on Android release', 'Perform application testing', 'Modify & enhance current application to adapt to business requirement']"
JAVA PROGRAMMER,https://www.jobstreet.co.id/id/job/java-programmer-3841341?jobId=jobstreet-id-job-3841341&sectionRank=1508&token=0~70b02242-a6ca-46d6-9c1c-89ad50c6fd34&fr=SRP%20Job%20Listing,"['D3/S1 IT', 'Have an excellent knowledge of Spring Framework, SQL and hands on experience with ORM frameworks such as Hibernate', 'Java Template engine technologies such as: Thymeleaf, Pebble', 'Java Build tools such as: Maven, Gradle', 'Data Structures', 'Have working knowledge and experience Java, JQuery, Ajax, JSON, CSS, HTML', 'Code versioning tools, such as Git', 'Have knowledge in ORM, Postgre, MySQL Database and Micro-services is a plus', 'ava 8 features such as: Time API, Lambda, Functional Programming Style, Stream API']"
Junior Software Engineer (Fresh Graduate),https://www.jobstreet.co.id/id/job/junior-software-engineer-fresh-graduate-3836250?jobId=jobstreet-id-job-3836250&sectionRank=1509&token=0~70b02242-a6ca-46d6-9c1c-89ad50c6fd34&fr=SRP%20Job%20Listing,"['Fresh graduate or maximum 2 years working experience', 'Relevant Bachelor or Strata 1 Degree with GPA 3.00 or above', 'Basic knowledge of Software Engineering', 'Have good algorithm and analytical skills', 'Have good attitude, communication and willing to work in a team.', 'Availability to work at Jakarta']"
Technical Project Manager (Software Project Experienced),https://www.jobstreet.co.id/id/job/technical-project-manager-software-project-experienced-3839469?jobId=jobstreet-id-job-3839469&sectionRank=1510&token=0~70b02242-a6ca-46d6-9c1c-89ad50c6fd34&fr=SRP%20Job%20Listing,[]
Android Developer,https://www.jobstreet.co.id/id/job/android-developer-3833383?jobId=jobstreet-id-job-3833383&sectionRank=1511&token=0~70b02242-a6ca-46d6-9c1c-89ad50c6fd34&fr=SRP%20Job%20Listing,"['Support the entire application lifecycle (concept, design, test, release and support) for the Android Platform', 'Collaborate with cross-functional teams to define, design, and ship new features', 'Unit-testing code for robustness, including edge cases, usability, and general reliability', 'Ensure the best possible performance, quality, and responsiveness of the application', 'Bug fixing and improving application performance']"
